,Artist,Track,ID
329,Talk Talk,I Don't Believe in You - 1997 Remaster,['2PeyQvyaViallofbtwS4PL']
330,Talk Talk,Renee - 1997 Remaster,['5UUk3itO5nvah4Ngd9CW5X']
331,Talking Heads,Happy Day,['7ep7F087jSsCVNaeDyT1HB']
332,Talking Heads,Mind,['03HUTPHpK8CJkBlIXTNvVL']
333,Talking Heads,Moon Rocks,['1jDit1o3MxkQxFDVNdYX9v']
334,Talking Heads,Paper,['3kfsFQhrPxNKmZLgm26u0U']
335,Talking Heads,Sugar on My Tongue - 2005 Remaster,['1w3IeWPxVHuw0gyXcGV2pN']
336,The Beatles,Polythene Pam,['1FTCA6wQwulQFokDddKE68']
337,The Beatles,She Came in Through the Bathroom Window,['2jtUGFsqanQ82zqDlhiKIp']
338,The Beatles,With a Little Help from My Friends,['2RnPATK99oGOZygnD2GTO6']
339,The Growlers,Big Toe,['3h86qHJ0OhMgVhm0GnJHiw']
340,The Growlers,Good Advice,['4XXcAKZbyldNgIMh2sQXOZ']
341,The Jesus and Mary Chain,Darklands,['7r1i1TZUGZQDxR5QHX4Mmx']
342,The Lonely Biscuits,San Francisco,['04zvSxcRRhSP3VK0PwgHbe']
343,The Psychedelic Furs,All Of This And Nothing,['4VfCtS5stiDTPjI7RYEKQC']
344,The Smiths,Meat Is Murder - 2011 Remaster,['1vAvRteHbPcnq7fTTROnNB']
345,The Velvet Underground,Rock & Roll,['1o6DclZHw0HomxXEQR1ijX']
346,Two People,Fading (album mix),[]
347,Two People,If We Have Time (rework),[]
348,Wire,Practice Makes Perfect,['2vYcX70M5Vx8YMohXFwshw']
349,Wire,Reuters,['0T3uPDgL6iErias0LLfJIE']
350,Audioslave,Be Yourself,['3zwmW1gM4E8FlHXV5nE16u']
351,Billie Eilish,bellyache,['51NFxnQvaosfDDutk0tams']
352,Blondie,Rapture,['6F2vo4sxRNQ58VYe3pdiaL']
353,Breaking Benjamin,Give Me A Sign,['6BWrIaoodtt7EX6kToWZw0']
